Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
297;-3.6531449574;-3.6615156000;0.0083706426;280;0.1438000000;1;Да
298;-5.6604989300;-5.6680026000;0.0075036700;80;0.0374000000;1;Да
299;-3.2870684001;-3.2898156000;0.0027471999;400;0.1985000000;1;Да
300;-3.1082427212;-3.1151286000;0.0068858788;320;0.1791000000;1;Да
301;-3.9844029388;-3.9845107000;0.0001077612;280;0.1868000000;1;Да
302;-5.1933425094;-5.1935146000;0.0001720906;360;0.2167000000;1;Да
303;-3.8969021334;-3.8973255000;0.0004233666;80;0.1059000000;1;Да
304;-6.2951724196;-6.2959333000;0.0007608804;400;0.2485000000;1;Да
305;-6.7579212973;-6.7636299000;0.0057086027;240;0.1507000000;1;Да
306;-4.2164055763;-4.2166049000;0.0001993237;400;0.3480000000;1;Да
307;-4.8756148231;-4.8789633000;0.0033484769;120;0.0993000000;1;Да
308;-5.5941168731;-5.5997364000;0.0056195269;120;0.1085000000;1;Да
309;-5.6111933580;-5.6161644000;0.0049710420;440;0.3091000000;1;Да
310;-5.7211262154;-5.7288807000;0.0077544846;80;0.1195000000;1;Да
311;-4.0214926046;-4.0215395000;0.0000468954;80;0.1043000000;1;Да
312;-4.4620991275;-4.4623753000;0.0002761725;440;0.3202000000;1;Да
313;-4.2768890067;-4.2802881000;0.0033990933;200;0.1480000000;1;Да
314;-4.1432819156;-4.1432904000;0.0000084844;480;0.5358000000;1;Да
315;-5.4477882527;-5.4481966000;0.0004083473;440;0.4217000000;1;Да
316;-3.9677463343;-3.9750265000;0.0072801657;240;0.1757000000;1;Да
317;-5.8062619323;-5.8116097000;0.0053477677;480;0.4305000000;1;Да
318;-4.0523374903;-4.0571890000;0.0048515097;640;0.4654000000;1;Да
319;-4.4373771636;-4.4460301000;0.0086529364;80;0.0608000000;1;Да
320;-4.2120939550;-4.2219314000;0.0098374450;120;0.1247000000;1;Да
321;-6.4587814200;-6.4611911000;0.0024096800;320;0.2100000000;1;Да
322;-3.2267401220;-3.2298336000;0.0030934780;120;0.1055000000;1;Да
323;-5.0162341278;-5.0172557000;0.0010215722;120;0.1839000000;1;Да
324;-4.8085576990;-4.8087155000;0.0001578010;400;0.2645000000;1;Да
325;-5.9924328208;-5.9924631000;0.0000302792;280;0.2911000000;1;Да
326;-3.6541790126;-3.6556948000;0.0015157874;520;0.3652000000;1;Да
327;-4.4757467279;-4.4760975000;0.0003507721;240;0.1147000000;1;Да
